graph_number,is_bipartite,num_edges,diameter,clique_num,is_distance_regular,is_eulerian,cut_vertice_list,num_cut_vertices,cycle_basis,degree_sequence,aut_group_generator,aut_grp_size,orbits,num_orbits,3_cycle_size_str,4_cycle_size_str,5_cycle_size_str,6_cycle_size_str
116.,FALSE,12,2,4,FALSE,FALSE,[],0,"[[3, 5, 0], [4, 5, 0], [3, 2, 5], [4, 2, 5], [3, 1, 5], [4, 1, 5], [3, 4, 0]]","[(0, 3), (1, 3), (2, 3), (3, 5), (4, 5), (5, 5)]","[[0, 1, 2, 3, 5, 4], [0, 1, 2, 4, 3, 5], [0, 2, 1, 3, 4, 5], [1, 0, 2, 3, 4, 5]]",36.0,"[0, 0, 0, 3, 3, 3]",2,7,0,0,0
119.,FALSE,7,3,3,FALSE,FALSE,"[5, 0]",2,"[[1, 3, 5], [2, 4, 0]]","[(0, 3), (1, 2), (2, 2), (3, 2), (4, 2), (5, 3)]","[[0, 1, 4, 3, 2, 5], [5, 2, 1, 4, 3, 0]]",8.0,"[0, 1, 1, 1, 1, 0]",2,2,0,0,0
120.,FALSE,7,4,3,FALSE,FALSE,"[1, 5]",2,"[[2, 5, 0], [2, 4, 0]]","[(0, 3), (1, 2), (2, 3), (3, 1), (4, 2), (5, 3)]","[[2, 1, 0, 3, 4, 5]]",2.0,"[0, 1, 0, 3, 4, 5]",5,2,0,0,0
121.,FALSE,8,3,4,FALSE,FALSE,"[1, 5]",2,"[[2, 5, 0], [4, 5, 0], [2, 4, 0]]","[(0, 3), (1, 2), (2, 3), (3, 1), (4, 3), (5, 4)]","[[0, 1, 4, 3, 2, 5], [2, 1, 0, 3, 4, 5]]",6.0,"[0, 1, 0, 3, 0, 5]",4,3,0,0,0
122.,FALSE,8,3,3,FALSE,FALSE,[5],1,"[[2, 5, 0], [1, 3, 5], [2, 4, 0]]","[(0, 3), (1, 2), (2, 3), (3, 2), (4, 2), (5, 4)]","[[2, 1, 0, 3, 4, 5], [0, 3, 2, 1, 4, 5]]",4.0,"[0, 1, 0, 1, 4, 5]",4,3,0,0,0
123.,FALSE,9,2,4,FALSE,FALSE,[5],1,"[[2, 5, 0], [4, 5, 0], [1, 3, 5], [2, 4, 0]]","[(0, 3), (1, 2), (2, 3), (3, 2), (4, 3), (5, 5)]","[[0, 1, 4, 3, 2, 5], [2, 1, 0, 3, 4, 5], [0, 3, 2, 1, 4, 5]]",12.0,"[0, 1, 0, 1, 0, 5]",3,4,0,0,0
124.,FALSE,9,2,4,FALSE,FALSE,[],0,"[[2, 5, 0], [4, 5, 0], [4, 1, 3, 5], [2, 4, 0]]","[(0, 3), (1, 2), (2, 3), (3, 2), (4, 4), (5, 4)]","[[2, 1, 0, 3, 4, 5], [0, 3, 2, 1, 5, 4]]",4.0,"[0, 1, 0, 1, 4, 4]",3,3,1,0,0
125.,FALSE,8,3,3,FALSE,FALSE,[],0,"[[1, 3, 5], [4, 1, 5, 0], [2, 4, 0]]","[(0, 3), (1, 3), (2, 2), (3, 2), (4, 3), (5, 3)]","[[4, 5, 2, 3, 0, 1], [1, 0, 3, 2, 5, 4]]",4.0,"[0, 0, 2, 2, 0, 0]",2,2,1,0,0
126.,FALSE,9,3,3,FALSE,FALSE,[],0,"[[4, 5, 0], [1, 3, 5], [4, 1, 5], [2, 4, 0]]","[(0, 3), (1, 3), (2, 2), (3, 2), (4, 4), (5, 4)]","[[1, 0, 3, 2, 5, 4]]",2.0,"[0, 0, 2, 2, 4, 4]",3,4,0,0,0
127.,FALSE,9,3,4,FALSE,FALSE,[1],1,"[[2, 5, 0], [4, 5, 0], [4, 1, 5], [2, 4, 0]]","[(0, 3), (1, 3), (2, 3), (3, 1), (4, 4), (5, 4)]","[[0, 1, 2, 3, 5, 4], [2, 1, 0, 3, 4, 5]]",4.0,"[0, 1, 0, 3, 4, 4]",4,4,0,0,0
128.,FALSE,9,2,3,FALSE,FALSE,[],0,"[[2, 5, 0], [1, 3, 5], [4, 1, 5, 0], [2, 4, 0]]","[(0, 3), (1, 3), (2, 3), (3, 2), (4, 3), (5, 4)]","[[2, 1, 0, 3, 4, 5]]",2.0,"[0, 1, 0, 3, 4, 5]",5,3,1,0,0
129.,FALSE,10,2,4,FALSE,FALSE,[],0,"[[2, 5, 0], [4, 5, 0], [1, 3, 5], [4, 1, 5], [2, 4, 0]]","[(0, 3), (1, 3), (2, 3), (3, 2), (4, 4), (5, 5)]","[[2, 1, 0, 3, 4, 5]]",2.0,"[0, 1, 0, 3, 4, 5]",5,5,0,0,0
130.,FALSE,10,2,3,FALSE,FALSE,[],0,"[[2, 5, 0], [1, 3, 5], [4, 3, 5, 0], [4, 1, 5, 0], [2, 4, 0]]","[(0, 3), (1, 3), (2, 3), (3, 3), (4, 4), (5, 4)]","[[0, 1, 2, 3, 5, 4], [0, 3, 2, 1, 4, 5], [1, 0, 3, 2, 4, 5]]",16.0,"[0, 0, 0, 0, 4, 4]",2,3,2,0,0
131.,FALSE,11,2,4,FALSE,FALSE,[],0,"[[2, 5, 0], [4, 5, 0], [1, 3, 5], [4, 3, 5], [4, 1, 5], [2, 4, 0]]","[(0, 3), (1, 3), (2, 3), (3, 3), (4, 5), (5, 5)]","[[0, 1, 2, 3, 5, 4], [0, 3, 2, 1, 4, 5], [1, 0, 3, 2, 4, 5]]",16.0,"[0, 0, 0, 0, 4, 4]",2,6,0,0,0
133.,FALSE,10,3,4,FALSE,FALSE,[5],1,"[[2, 5, 0], [3, 5, 0], [2, 4, 0], [3, 4, 0], [2, 3, 0]]","[(0, 4), (1, 1), (2, 4), (3, 4), (4, 3), (5, 4)]","[[0, 1, 3, 2, 4, 5], [2, 1, 0, 3, 4, 5]]",6.0,"[0, 1, 0, 0, 4, 5]",4,5,0,0,0
134.,FALSE,11,2,5,FALSE,FALSE,[5],1,"[[2, 5, 0], [3, 5, 0], [4, 5, 0], [2, 4, 0], [3, 4, 0], [2, 3, 0]]","[(0, 4), (1, 1), (2, 4), (3, 4), (4, 4), (5, 5)]","[[0, 1, 2, 4, 3, 5], [0, 1, 3, 2, 4, 5], [2, 1, 0, 3, 4, 5]]",24.0,"[0, 1, 0, 0, 0, 5]",3,6,0,0,0
135.,FALSE,10,3,4,FALSE,TRUE,[],0,"[[2, 5, 0], [4, 5, 0], [4, 1, 5], [2, 4, 0], [2, 3, 0]]","[(0, 4), (1, 2), (2, 4), (3, 2), (4, 4), (5, 4)]","[[2, 1, 0, 3, 4, 5], [0, 1, 2, 3, 5, 4], [4, 3, 5, 1, 0, 2]]",8.0,"[0, 1, 0, 1, 0, 0]",2,5,0,0,0
136.,FALSE,10,2,4,FALSE,FALSE,[],0,"[[2, 5, 0], [3, 5, 0], [4, 1, 5, 0], [2, 4, 0], [2, 3, 0]]","[(0, 4), (1, 2), (2, 4), (3, 3), (4, 3), (5, 4)]","[[2, 1, 0, 3, 4, 5]]",2.0,"[0, 1, 0, 3, 4, 5]",5,4,1,0,0
137.,FALSE,11,2,4,FALSE,FALSE,[],0,"[[2, 5, 0], [3, 5, 0], [4, 5, 0], [4, 1, 5], [2, 4, 0], [2, 3, 0]]","[(0, 4), (1, 2), (2, 4), (3, 3), (4, 4), (5, 5)]","[[2, 1, 0, 3, 4, 5]]",2.0,"[0, 1, 0, 3, 4, 5]",5,6,0,0,0
138.,FALSE,12,2,5,FALSE,FALSE,[],0,"[[2, 5, 0], [3, 5, 0], [4, 5, 0], [4, 1, 5], [2, 4, 0], [3, 4, 0], [2, 3, 0]]","[(0, 4), (1, 2), (2, 4), (3, 4), (4, 5), (5, 5)]","[[0, 1, 2, 3, 5, 4], [0, 1, 3, 2, 4, 5], [2, 1, 0, 3, 4, 5]]",12.0,"[0, 1, 0, 0, 4, 4]",3,7,0,0,0
139.,FALSE,8,2,3,FALSE,FALSE,[],0,"[[3, 5, 0], [3, 1, 5], [2, 4, 1, 5, 0]]","[(0, 3), (1, 3), (2, 2), (3, 3), (4, 2), (5, 3)]","[[0, 1, 2, 5, 4, 3], [1, 0, 4, 3, 2, 5]]",4.0,"[0, 0, 2, 3, 2, 3]",3,2,0,1,0
140.,FALSE,8,2,3,FALSE,FALSE,[],0,"[[2, 5, 0], [3, 1, 5, 0], [2, 4, 1, 5]]","[(0, 3), (1, 3), (2, 3), (3, 2), (4, 2), (5, 3)]","[[2, 1, 0, 4, 3, 5]]",2.0,"[0, 1, 0, 3, 3, 5]",4,1,2,0,0
141.,FALSE,9,2,3,FALSE,FALSE,[],0,"[[2, 5, 0], [3, 5, 0], [3, 1, 5], [2, 4, 1, 5]]","[(0, 3), (1, 3), (2, 3), (3, 3), (4, 2), (5, 4)]","[[3, 2, 1, 0, 4, 5]]",2.0,"[0, 1, 1, 0, 4, 5]",4,3,1,0,0
