graph_number,is_bipartite,num_edges,diameter,clique_num,is_distance_regular,is_eulerian,cut_vertice_list,num_cut_vertices,cycle_basis,degree_sequence,aut_group_generator,aut_grp_size,orbits,num_orbits,3_cycle_size_str
3,TRUE,2,2,2,FALSE,FALSE,[2],1,[],"[(0, 1), (1, 1), (2, 2)]","[[1, 0, 2]]",2,"[0, 0, 2]",2,0
4,FALSE,3,1,3,TRUE,TRUE,[],0,"[[1, 2, 0]]","[(0, 2), (1, 2), (2, 2)]","[[0, 2, 1], [1, 0, 2]]",6,"[0, 0, 0]",1,1
