graph_number,is_bipartite,num_edges,diameter,clique_num,is_distance_regular,is_eulerian,cut_vertice_list,num_cut_vertices,cycle_basis,degree_sequence,aut_group_generator,grp_size_1,grp_size_2,orbits,num_orbits,3_cycle_size_str,4_cycle_size_str,5_cycle_size_str,6_cycle_size_str,7_cycle_size_str,8_cycle_size_str
2815.,False,14,3,4,False,False,[7],1,"[[5, 7, 0], [6, 7, 0], [5, 1, 7], [6, 1, 7], [4, 6, 0], [5, 6, 0], [4, 5, 0]]","[(0, 4), (1, 3), (2, 1), (3, 1), (4, 3), (5, 5), (6, 5), (7, 6)]","[[0, 1, 2, 3, 4, 6, 5, 7], [0, 1, 3, 2, 4, 5, 6, 7]]",4.0,0,"[0, 1, 2, 2, 4, 5, 5, 7]",6,7,0,0,0,0,0
2816.,False,13,3,4,False,False,[7],1,"[[4, 7, 0], [5, 1, 7, 0], [6, 1, 7, 0], [4, 6, 0], [5, 6, 0], [4, 5, 0]]","[(0, 4), (1, 3), (2, 1), (3, 1), (4, 4), (5, 4), (6, 4), (7, 5)]","[[0, 1, 2, 3, 4, 6, 5, 7], [4, 1, 2, 3, 0, 5, 6, 7], [0, 1, 3, 2, 4, 5, 6, 7]]",8.0,0,"[0, 1, 2, 2, 0, 5, 5, 7]",5,4,2,0,0,0,0
2817.,False,14,3,4,False,False,[7],1,"[[4, 7, 0], [5, 7, 0], [5, 1, 7], [6, 1, 7, 0], [4, 6, 0], [5, 6, 0], [4, 5, 0]]","[(0, 4), (1, 3), (2, 1), (3, 1), (4, 4), (5, 5), (6, 4), (7, 6)]","[[4, 1, 2, 3, 0, 5, 6, 7], [0, 1, 3, 2, 4, 5, 6, 7]]",4.0,0,"[0, 1, 2, 2, 0, 5, 6, 7]",6,6,1,0,0,0,0
2818.,False,15,2,5,False,False,[7],1,"[[4, 7, 0], [5, 7, 0], [6, 7, 0], [5, 1, 7], [6, 1, 7], [4, 6, 0], [5, 6, 0], [4, 5, 0]]","[(0, 4), (1, 3), (2, 1), (3, 1), (4, 4), (5, 5), (6, 5), (7, 7)]","[[0, 1, 2, 3, 4, 6, 5, 7], [4, 1, 2, 3, 0, 5, 6, 7], [0, 1, 3, 2, 4, 5, 6, 7]]",8.0,0,"[0, 1, 2, 2, 0, 5, 5, 7]",5,8,0,0,0,0,0
2819.,False,11,3,3,False,False,"[6, 7]",2,"[[4, 7, 6, 0], [5, 7, 6, 0], [5, 1, 6, 0], [4, 5, 0]]","[(0, 3), (1, 2), (2, 1), (3, 1), (4, 3), (5, 4), (6, 4), (7, 4)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,1,3,0,0,0,0
281.,False,9,4,3,False,False,"[6, 7]",2,"[[5, 7, 0], [6, 1, 7, 0]]","[(0, 3), (1, 2), (2, 1), (3, 1), (4, 1), (5, 2), (6, 3), (7, 5)]","[[0, 1, 2, 4, 3, 5, 6, 7]]",2.0,0,"[0, 1, 2, 3, 3, 5, 6, 7]",7,1,1,0,0,0,0
2821.,False,11,3,3,False,False,[7],1,"[[2, 7, 6], [5, 7, 6, 0], [5, 1, 6, 0], [4, 5, 0]]","[(0, 3), (1, 2), (2, 2), (3, 1), (4, 2), (5, 4), (6, 4), (7, 4)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,2,2,0,0,0,0
2822.,False,11,3,3,False,False,[7],1,"[[2, 7, 6], [4, 7, 6, 0], [5, 1, 6, 0], [4, 5, 0]]","[(0, 3), (1, 2), (2, 2), (3, 1), (4, 3), (5, 3), (6, 4), (7, 4)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,2,2,0,0,0,0
2823.,False,11,3,3,False,False,[7],1,"[[4, 7, 2, 6, 0], [5, 7, 2, 6, 0], [5, 1, 6, 0], [4, 5, 0]]","[(0, 3), (1, 2), (2, 2), (3, 1), (4, 3), (5, 4), (6, 3), (7, 4)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,1,1,2,0,0,0
2824.,False,12,3,3,False,False,[7],1,"[[2, 7, 6], [4, 7, 6, 0], [5, 7, 6, 0], [5, 1, 6, 0], [4, 5, 0]]","[(0, 3), (1, 2), (2, 2), (3, 1), (4, 3), (5, 4), (6, 4), (7, 5)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,2,3,0,0,0,0
2826.,False,11,3,3,False,False,"[6, 7]",2,"[[1, 7, 6], [5, 7, 6, 0], [5, 1, 6, 0], [4, 5, 0]]","[(0, 3), (1, 3), (2, 1), (3, 1), (4, 2), (5, 4), (6, 4), (7, 4)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,2,2,0,0,0,0
2827.,False,11,3,3,False,False,"[6, 7]",2,"[[1, 7, 6], [4, 7, 6, 0], [5, 1, 6, 0], [4, 5, 0]]","[(0, 3), (1, 3), (2, 1), (3, 1), (4, 3), (5, 3), (6, 4), (7, 4)]","[[4, 1, 3, 2, 0, 5, 7, 6]]",2.0,0,"[0, 1, 2, 2, 0, 5, 6, 6]",5,2,2,0,0,0,0
2828.,False,11,4,3,False,False,"[6, 7]",2,"[[5, 1, 6, 0], [4, 7, 1, 6, 0], [5, 7, 1], [4, 5, 0]]","[(0, 3), (1, 3), (2, 1), (3, 1), (4, 3), (5, 4), (6, 3), (7, 4)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,2,1,1,0,0,0
2829.,False,12,3,3,False,False,"[6, 7]",2,"[[1, 7, 6], [4, 7, 6, 0], [5, 7, 6, 0], [5, 1, 6, 0], [4, 5, 0]]","[(0, 3), (1, 3), (2, 1), (3, 1), (4, 3), (5, 4), (6, 4), (7, 5)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,2,3,0,0,0,0
282.,False,10,3,3,False,False,"[6, 7]",2,"[[5, 7, 0], [6, 7, 0], [6, 1, 7]]","[(0, 3), (1, 2), (2, 1), (3, 1), (4, 1), (5, 2), (6, 4), (7, 6)]","[[0, 1, 2, 4, 3, 5, 6, 7]]",2.0,0,"[0, 1, 2, 3, 3, 5, 6, 7]",7,3,0,0,0,0,0
2834.,False,11,3,3,False,False,[7],1,"[[1, 7, 2, 6], [5, 7, 2, 6, 0], [5, 1, 6, 0], [4, 5, 0]]","[(0, 3), (1, 3), (2, 2), (3, 1), (4, 2), (5, 4), (6, 3), (7, 4)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,1,2,1,0,0,0
2835.,False,12,3,3,False,False,[7],1,"[[1, 7, 6], [2, 7, 6], [5, 7, 6, 0], [5, 1, 6, 0], [4, 5, 0]]","[(0, 3), (1, 3), (2, 2), (3, 1), (4, 2), (5, 4), (6, 4), (7, 5)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,3,2,0,0,0,0
2836.,False,11,3,3,False,False,[7],1,"[[1, 7, 2, 6], [4, 7, 2, 6, 0], [5, 1, 6, 0], [4, 5, 0]]","[(0, 3), (1, 3), (2, 2), (3, 1), (4, 3), (5, 3), (6, 3), (7, 4)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,1,2,1,0,0,0
2837.,False,12,3,3,False,False,[7],1,"[[1, 7, 6], [2, 7, 6], [4, 7, 6, 0], [5, 1, 6, 0], [4, 5, 0]]","[(0, 3), (1, 3), (2, 2), (3, 1), (4, 3), (5, 3), (6, 4), (7, 5)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,3,2,0,0,0,0
2838.,False,12,3,3,False,False,[7],1,"[[1, 7, 2, 6], [4, 7, 2, 6, 0], [5, 7, 2, 6, 0], [5, 1, 6, 0], [4, 5, 0]]","[(0, 3), (1, 3), (2, 2), (3, 1), (4, 3), (5, 4), (6, 3), (7, 5)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,1,2,2,0,0,0
