graph_number,is_bipartite,num_edges,diameter,clique_num,is_distance_regular,is_eulerian,cut_vertice_list,num_cut_vertices,cycle_basis,degree_sequence,aut_group_generator,grp_size_1,grp_size_2,orbits,num_orbits,3_cycle_size_str,4_cycle_size_str,5_cycle_size_str,6_cycle_size_str,7_cycle_size_str,8_cycle_size_str
2839.,False,13,3,3,False,False,[7],1,"[[1, 7, 6], [2, 7, 6], [4, 7, 6, 0], [5, 7, 6, 0], [5, 1, 6, 0], [4, 5, 0]]","[(0, 3), (1, 3), (2, 2), (3, 1), (4, 3), (5, 4), (6, 4), (7, 6)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,3,3,0,0,0,0
2841.,False,11,3,3,False,False,"[6, 7]",2,"[[4, 7, 0], [6, 7, 0], [5, 1, 6, 0], [4, 5, 0]]","[(0, 4), (1, 2), (2, 1), (3, 1), (4, 3), (5, 3), (6, 4), (7, 4)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,3,1,0,0,0,0
2842.,False,12,3,4,False,False,"[6, 7]",2,"[[4, 7, 0], [5, 7, 0], [6, 7, 0], [5, 1, 6, 0], [4, 5, 0]]","[(0, 4), (1, 2), (2, 1), (3, 1), (4, 3), (5, 4), (6, 4), (7, 5)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,4,1,0,0,0,0
2847.,False,12,3,3,False,False,[7],1,"[[5, 7, 0], [6, 7, 0], [6, 2, 7], [5, 1, 6, 0], [4, 5, 0]]","[(0, 4), (1, 2), (2, 2), (3, 1), (4, 2), (5, 4), (6, 4), (7, 5)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,4,1,0,0,0,0
2848.,False,11,4,3,False,False,[7],1,"[[4, 7, 0], [6, 2, 7, 0], [5, 1, 6, 0], [4, 5, 0]]","[(0, 4), (1, 2), (2, 2), (3, 1), (4, 3), (5, 3), (6, 3), (7, 4)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,2,2,0,0,0,0
2849.,False,12,3,3,False,False,[7],1,"[[4, 7, 0], [6, 7, 0], [6, 2, 7], [5, 1, 6, 0], [4, 5, 0]]","[(0, 4), (1, 2), (2, 2), (3, 1), (4, 3), (5, 3), (6, 4), (7, 5)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,4,1,0,0,0,0
2850.,False,12,3,4,False,False,[7],1,"[[4, 7, 0], [5, 7, 0], [6, 2, 7, 0], [5, 1, 6, 0], [4, 5, 0]]","[(0, 4), (1, 2), (2, 2), (3, 1), (4, 3), (5, 4), (6, 3), (7, 5)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,3,2,0,0,0,0
2851.,False,13,3,4,False,False,[7],1,"[[4, 7, 0], [5, 7, 0], [6, 7, 0], [6, 2, 7], [5, 1, 6, 0], [4, 5, 0]]","[(0, 4), (1, 2), (2, 2), (3, 1), (4, 3), (5, 4), (6, 4), (7, 6)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,5,1,0,0,0,0
2855.,False,11,3,3,False,False,"[6, 7]",2,"[[6, 7, 0], [5, 1, 7, 0], [6, 1, 7], [4, 5, 0]]","[(0, 4), (1, 3), (2, 1), (3, 1), (4, 2), (5, 3), (6, 4), (7, 4)]","[[0, 1, 3, 2, 4, 5, 7, 6]]",2.0,0,"[0, 1, 2, 2, 4, 5, 6, 6]",6,3,1,0,0,0,0
2856.,False,12,3,3,False,False,"[6, 7]",2,"[[5, 7, 0], [6, 7, 0], [5, 1, 7], [6, 1, 7], [4, 5, 0]]","[(0, 4), (1, 3), (2, 1), (3, 1), (4, 2), (5, 4), (6, 4), (7, 5)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,5,0,0,0,0,0
