graph_number,is_bipartite,num_edges,diameter,clique_num,is_distance_regular,is_eulerian,cut_vertice_list,num_cut_vertices,cycle_basis,degree_sequence,aut_group_generator,grp_size_1,orbits,num_orbits,3_cycle_size_str,4_cycle_size_str,5_cycle_size_str,6_cycle_size_str,7_cycle_size_str,
743, False ,13,2,4, False , False , [] ,0," [[3, 6, 0], [5, 6, 0], [4, 2, 6, 0], [4, 1, 6, 0], [5, 1, 6], [3, 5, 0], [4, 5, 0]] "," [(0, 4), (1, 3), (2, 2), (3, 3), (4, 4), (5, 5), (6, 5)] ", [] ,1," [0, 1, 2, 3, 4, 5, 6] ",7,5,2,0,0,0,"
"
744, False ,13,2,3, False , False , [] ,0," [[3, 6, 0], [4, 6, 0], [4, 2, 6], [4, 1, 6], [5, 1, 6, 0], [3, 5, 0], [4, 5, 0]] "," [(0, 4), (1, 3), (2, 2), (3, 3), (4, 5), (5, 4), (6, 5)] ", [] ,1," [0, 1, 2, 3, 4, 5, 6] ",7,6,1,0,0,0,"
"
745, False ,14,2,4, False , False , [] ,0," [[3, 6, 0], [4, 6, 0], [5, 6, 0], [4, 2, 6], [4, 1, 6], [5, 1, 6], [3, 5, 0], [4, 5, 0]] "," [(0, 4), (1, 3), (2, 2), (3, 3), (4, 5), (5, 5), (6, 6)] ", [] ,1," [0, 1, 2, 3, 4, 5, 6] ",7,8,0,0,0,0,"
"
746, False ,11,3,3, False , False , [] ,0," [[1, 6, 5], [3, 6, 5, 0], [4, 6, 5, 0], [4, 2, 5, 0], [4, 1, 5, 0]] "," [(0, 3), (1, 3), (2, 2), (3, 2), (4, 4), (5, 4), (6, 4)] "," [[0, 1, 2, 3, 5, 4, 6]] ",2," [0, 1, 2, 3, 4, 4, 6] ",6,1,4,0,0,0,"
"
747, False ,11,3,3, False , False , [0] ,1," [[1, 6, 5], [2, 6, 5], [4, 6, 5, 0], [4, 2, 5, 0], [4, 1, 5, 0]] "," [(0, 3), (1, 3), (2, 3), (3, 1), (4, 4), (5, 4), (6, 4)] "," [[0, 1, 2, 3, 5, 4, 6], [0, 2, 1, 3, 4, 5, 6]] ",4," [0, 1, 1, 3, 4, 4, 6] ",5,2,3,0,0,0,"
"
748, False ,11,2,3, False , False , [] ,0," [[4, 2, 5, 0], [1, 6, 2, 5], [3, 6, 2, 5, 0], [4, 6, 2], [4, 1, 5, 0]] "," [(0, 3), (1, 3), (2, 3), (3, 2), (4, 4), (5, 3), (6, 4)] "," [[0, 2, 1, 3, 4, 5, 6]] ",2," [0, 1, 1, 3, 4, 5, 6] ",6,1,3,1,0,0,"
"
749, False ,12,2,3, False , False , [] ,0," [[1, 6, 5], [2, 6, 5], [3, 6, 5, 0], [4, 6, 5, 0], [4, 2, 5, 0], [4, 1, 5, 0]] "," [(0, 3), (1, 3), (2, 3), (3, 2), (4, 4), (5, 4), (6, 5)] "," [[0, 1, 2, 3, 5, 4, 6], [0, 2, 1, 3, 4, 5, 6]] ",4," [0, 1, 1, 3, 4, 4, 6] ",5,2,4,0,0,0,"
"
750, False ,11,3,3, False , True , [] ,0," [[3, 6, 0], [4, 6, 0], [5, 6, 0], [4, 2, 5, 0], [4, 1, 5, 0]] "," [(0, 4), (1, 2), (2, 2), (3, 2), (4, 4), (5, 4), (6, 4)] "," [[0, 1, 2, 3, 5, 4, 6], [6, 1, 2, 3, 4, 5, 0], [0, 2, 1, 3, 4, 5, 6]] ",8," [0, 1, 1, 3, 4, 4, 0] ",4,3,2,0,0,0,"
"
751, False ,11,3,3, False , False , [0] ,1," [[4, 6, 0], [5, 6, 0], [4, 1, 6], [5, 1, 6], [4, 2, 5, 0]] "," [(0, 4), (1, 3), (2, 2), (3, 1), (4, 4), (5, 4), (6, 4)] "," [[0, 1, 2, 3, 5, 4, 6]] ",2," [0, 1, 2, 3, 4, 4, 6] ",6,4,1,0,0,0,"
"
752, False ,12,3,3, False , False , [] ,0," [[3, 6, 0], [4, 6, 0], [5, 6, 0], [4, 1, 6], [5, 1, 6], [4, 2, 5, 0]] "," [(0, 4), (1, 3), (2, 2), (3, 2), (4, 4), (5, 4), (6, 5)] "," [[0, 1, 2, 3, 5, 4, 6]] ",2," [0, 1, 2, 3, 4, 4, 6] ",6,5,1,0,0,0,"
"
753, False ,11,3,3, False , False , [0] ,1," [[4, 6, 0], [4, 2, 6], [5, 2, 6, 0], [4, 1, 6], [5, 1, 6, 0]] "," [(0, 4), (1, 3), (2, 3), (3, 1), (4, 4), (5, 3), (6, 4)] "," [[0, 1, 2, 3, 6, 5, 4], [0, 2, 1, 3, 4, 5, 6]] ",4," [0, 1, 1, 3, 4, 5, 4] ",5,3,2,0,0,0,"
"
754, False ,12,3,3, False , False , [0] ,1," [[4, 6, 0], [5, 6, 0], [4, 2, 6], [5, 2, 6], [4, 1, 6], [5, 1, 6]] "," [(0, 4), (1, 3), (2, 3), (3, 1), (4, 4), (5, 4), (6, 5)] "," [[0, 1, 2, 3, 5, 4, 6], [0, 2, 1, 3, 4, 5, 6]] ",4," [0, 1, 1, 3, 4, 4, 6] ",5,6,0,0,0,0,"
"
755, False ,11,2,3, False , False , [] ,0," [[3, 6, 0], [4, 2, 6, 0], [5, 2, 6, 0], [4, 1, 6, 0], [5, 1, 6, 0]] "," [(0, 4), (1, 3), (2, 3), (3, 2), (4, 3), (5, 3), (6, 4)] "," [[0, 1, 2, 3, 5, 4, 6], [0, 2, 1, 3, 4, 5, 6], [6, 4, 5, 3, 1, 2, 0]] ",8," [0, 1, 1, 3, 1, 1, 0] ",3,1,4,0,0,0,"
"
